Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,040913,2023,04,11,27.5,1,N
IDCJAC0010,040913,2023,04,12,28.3,1,N
IDCJAC0010,040913,2023,04,13,28.8,1,Y
IDCJAC0010,040913,2023,04,14,28.1,1,N
IDCJAC0010,040913,2023,04,15,27.6,1,N
IDCJAC0010,040913,2023,04,16,29.1,1,N
IDCJAC0010,040913,2023,04,17,29.9,1,N
IDCJAC0010,040913,2023,04,18,27.6,1,N
IDCJAC0010,040913,2023,04,19,27.7,1,N
IDCJAC0010,040913,2023,04,20,28.2,1,N
IDCJAC0010,040913,2023,04,21,26.1,1,N
IDCJAC0010,040913,2023,04,22,26.8,1,N
IDCJAC0010,040913,2023,04,23,27.6,1,N
IDCJAC0010,040913,2023,04,24,25.9,1,N
IDCJAC0010,040913,2023,04,25,24.0,1,N
IDCJAC0010,040913,2023,04,26,24.4,1,N
IDCJAC0010,040913,2023,04,27,25.1,1,N
IDCJAC0010,040913,2023,04,28,25.6,1,N
IDCJAC0010,040913,2023,04,29,25.1,1,N
IDCJAC0010,040913,2023,04,30,25.1,1,N
IDCJAC0010,040913,2023,05,01,24.5,1,N
IDCJAC0010,040913,2023,05,02,23.9,1,N
IDCJAC0010,040913,2023,05,03,27.4,1,N
IDCJAC0010,040913,2023,05,04,27.2,1,N
IDCJAC0010,040913,2023,05,05,24.7,1,N
IDCJAC0010,040913,2023,05,06,26.3,1,N
IDCJAC0010,040913,2023,05,07,27.2,1,N
IDCJAC0010,040913,2023,05,08,21.8,1,Y
IDCJAC0010,040913,2023,05,09,23.1,1,Y
IDCJAC0010,040913,2023,05,10,24.7,1,N
IDCJAC0010,040913,2023,05,11,23.7,1,Y
IDCJAC0010,040913,2023,05,12,24.3,1,N
IDCJAC0010,040913,2023,05,13,24.3,1,N
IDCJAC0010,040913,2023,05,14,22.9,1,N
IDCJAC0010,040913,2023,05,15,24.2,1,N
IDCJAC0010,040913,2023,05,16,19.9,1,N
IDCJAC0010,040913,2023,05,17,24.6,1,N
IDCJAC0010,040913,2023,05,18,23.6,1,N
IDCJAC0010,040913,2023,05,19,22.3,1,Y
IDCJAC0010,040913,2023,05,20,22.6,1,N
IDCJAC0010,040913,2023,05,21,22.4,1,N
IDCJAC0010,040913,2023,05,22,23.4,1,N
IDCJAC0010,040913,2023,05,23,24.1,1,Y
IDCJAC0010,040913,2023,05,24,24.2,1,N
IDCJAC0010,040913,2023,05,25,24.8,1,Y
IDCJAC0010,040913,2023,05,26,27.1,1,Y
IDCJAC0010,040913,2023,05,27,22.9,1,Y
IDCJAC0010,040913,2023,05,28,22.4,1,N
IDCJAC0010,040913,2023,05,29,21.5,1,N
IDCJAC0010,040913,2023,05,30,22.9,1,Y
IDCJAC0010,040913,2023,05,31,23.8,1,N
IDCJAC0010,040913,2023,06,01,25.1,1,N
IDCJAC0010,040913,2023,06,02,24.6,1,N
IDCJAC0010,040913,2023,06,03,24.1,1,N
IDCJAC0010,040913,2023,06,04,22.5,1,N
IDCJAC0010,040913,2023,06,05,22.4,1,N
IDCJAC0010,040913,2023,06,06,22.8,1,N
IDCJAC0010,040913,2023,06,07,22.7,1,N
IDCJAC0010,040913,2023,06,08,24.1,1,N
IDCJAC0010,040913,2023,06,09,22.9,1,Y
IDCJAC0010,040913,2023,06,10,23.6,1,N
IDCJAC0010,040913,2023,06,11,23.7,1,N
IDCJAC0010,040913,2023,06,12,21.3,1,N
IDCJAC0010,040913,2023,06,13,25.3,1,N
IDCJAC0010,040913,2023,06,14,24.9,1,Y
IDCJAC0010,040913,2023,06,15,21.9,1,N
IDCJAC0010,040913,2023,06,16,21.9,1,N
IDCJAC0010,040913,2023,06,17,22.6,1,Y
IDCJAC0010,040913,2023,06,18,23.7,1,Y
IDCJAC0010,040913,2023,06,19,23.2,1,Y
IDCJAC0010,040913,2023,06,20,20.8,1,N
IDCJAC0010,040913,2023,06,21,20.9,1,N
IDCJAC0010,040913,2023,06,22,21.8,1,N
IDCJAC0010,040913,2023,06,23,24.4,1,N
IDCJAC0010,040913,2023,06,24,25.1,1,N
IDCJAC0010,040913,2023,06,25,26.0,1,N
IDCJAC0010,040913,2023,06,26,24.8,1,N
IDCJAC0010,040913,2023,06,27,23.2,1,N
IDCJAC0010,040913,2023,06,28,25.7,1,N
IDCJAC0010,040913,2023,06,29,22.1,1,N
IDCJAC0010,040913,2023,06,30,20.5,1,Y
IDCJAC0010,040913,2023,07,01,19.5,1,N
IDCJAC0010,040913,2023,07,02,21.3,1,N
IDCJAC0010,040913,2023,07,03,18.9,1,N
IDCJAC0010,040913,2023,07,04,20.6,1,N
IDCJAC0010,040913,2023,07,05,24.6,1,Y
IDCJAC0010,040913,2023,07,06,22.9,1,N
IDCJAC0010,040913,2023,07,07,22.4,1,N
IDCJAC0010,040913,2023,07,08,21.9,1,Y
IDCJAC0010,040913,2023,07,09,20.0,1,N
IDCJAC0010,040913,2023,07,10,23.2,1,N
IDCJAC0010,040913,2023,07,11,23.9,1,N
IDCJAC0010,040913,2023,07,12,20.9,1,N
IDCJAC0010,040913,2023,07,13,22.5,1,N
IDCJAC0010,040913,2023,07,14,22.7,1,Y
IDCJAC0010,040913,2023,07,15,20.7,1,N
IDCJAC0010,040913,2023,07,16,25.1,1,N
IDCJAC0010,040913,2023,07,17,19.1,1,N
IDCJAC0010,040913,2023,07,18,21.9,1,N
IDCJAC0010,040913,2023,07,19,24.7,1,N
IDCJAC0010,040913,2023,07,20,22.2,1,N
IDCJAC0010,040913,2023,07,21,25.3,1,N
IDCJAC0010,040913,2023,07,22,22.3,1,N
IDCJAC0010,040913,2023,07,23,22.9,1,N
IDCJAC0010,040913,2023,07,24,19.7,1,N
IDCJAC0010,040913,2023,07,25,22.6,1,N
IDCJAC0010,040913,2023,07,26,23.1,1,N
