Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,040078,2023,04,30,16.1
IDCJAC0016,040078,2023,05,01,17.4
IDCJAC0016,040078,2023,05,02,16.6
IDCJAC0016,040078,2023,05,03,17.2
IDCJAC0016,040078,2023,05,04,17.1
IDCJAC0016,040078,2023,05,05,10.0
IDCJAC0016,040078,2023,05,06,15.9
IDCJAC0016,040078,2023,05,07,13.9
IDCJAC0016,040078,2023,05,08,16.7
IDCJAC0016,040078,2023,05,09,16.6
IDCJAC0016,040078,2023,05,10,15.7
IDCJAC0016,040078,2023,05,11,11.2
IDCJAC0016,040078,2023,05,12,15.4
IDCJAC0016,040078,2023,05,13,12.9
IDCJAC0016,040078,2023,05,14,10.8
IDCJAC0016,040078,2023,05,15,7.1
IDCJAC0016,040078,2023,05,16,9.9
IDCJAC0016,040078,2023,05,17,15.6
IDCJAC0016,040078,2023,05,18,15.2
IDCJAC0016,040078,2023,05,19,15.6
IDCJAC0016,040078,2023,05,20,15.5
IDCJAC0016,040078,2023,05,21,15.5
IDCJAC0016,040078,2023,05,22,15.4
IDCJAC0016,040078,2023,05,23,15.3
IDCJAC0016,040078,2023,05,24,15.1
IDCJAC0016,040078,2023,05,25,15.2
IDCJAC0016,040078,2023,05,26,15.0
IDCJAC0016,040078,2023,05,27,15.0
IDCJAC0016,040078,2023,05,28,15.0
IDCJAC0016,040078,2023,05,29,14.9
IDCJAC0016,040078,2023,05,30,14.8
IDCJAC0016,040078,2023,05,31,14.8
IDCJAC0016,040078,2023,06,01,14.6
IDCJAC0016,040078,2023,06,02,14.4
IDCJAC0016,040078,2023,06,03,13.3
IDCJAC0016,040078,2023,06,04,7.9
IDCJAC0016,040078,2023,06,05,6.4
IDCJAC0016,040078,2023,06,06,12.5
IDCJAC0016,040078,2023,06,07,14.1
IDCJAC0016,040078,2023,06,08,11.7
IDCJAC0016,040078,2023,06,09,14.4
IDCJAC0016,040078,2023,06,10,14.4
IDCJAC0016,040078,2023,06,11,12.1
IDCJAC0016,040078,2023,06,12,10.1
IDCJAC0016,040078,2023,06,13,14.0
IDCJAC0016,040078,2023,06,14,14.3
IDCJAC0016,040078,2023,06,15,14.3
IDCJAC0016,040078,2023,06,16,14.2
IDCJAC0016,040078,2023,06,17,13.2
IDCJAC0016,040078,2023,06,18,14.2
IDCJAC0016,040078,2023,06,19,14.2
IDCJAC0016,040078,2023,06,20,14.2
IDCJAC0016,040078,2023,06,21,14.0
IDCJAC0016,040078,2023,06,22,14.1
IDCJAC0016,040078,2023,06,23,13.9
IDCJAC0016,040078,2023,06,24,14.2
IDCJAC0016,040078,2023,06,25,14.1
IDCJAC0016,040078,2023,06,26,14.3
IDCJAC0016,040078,2023,06,27,14.3
IDCJAC0016,040078,2023,06,28,13.2
IDCJAC0016,040078,2023,06,29,10.0
IDCJAC0016,040078,2023,06,30,14.4
IDCJAC0016,040078,2023,07,01,12.1
IDCJAC0016,040078,2023,07,02,11.8
IDCJAC0016,040078,2023,07,03,8.7
IDCJAC0016,040078,2023,07,04,6.0
IDCJAC0016,040078,2023,07,05,13.9
IDCJAC0016,040078,2023,07,06,14.2
IDCJAC0016,040078,2023,07,07,14.6
IDCJAC0016,040078,2023,07,08,14.7
IDCJAC0016,040078,2023,07,09,14.0
IDCJAC0016,040078,2023,07,10,13.6
IDCJAC0016,040078,2023,07,11,14.8
IDCJAC0016,040078,2023,07,12,10.9
IDCJAC0016,040078,2023,07,13,10.5
IDCJAC0016,040078,2023,07,14,13.4
IDCJAC0016,040078,2023,07,15,10.0
IDCJAC0016,040078,2023,07,16,11.9
IDCJAC0016,040078,2023,07,17,10.4
IDCJAC0016,040078,2023,07,18,13.6
IDCJAC0016,040078,2023,07,19,15.3
IDCJAC0016,040078,2023,07,20,15.4
IDCJAC0016,040078,2023,07,21,14.4
IDCJAC0016,040078,2023,07,22,15.6
IDCJAC0016,040078,2023,07,23,15.5
IDCJAC0016,040078,2023,07,24,8.9
IDCJAC0016,040078,2023,07,25,12.8
IDCJAC0016,040078,2023,07,26,12.0
IDCJAC0016,040078,2023,07,27,12.1
IDCJAC0016,040078,2023,07,28,15.5
IDCJAC0016,040078,2023,07,29,15.7
IDCJAC0016,040078,2023,07,30,16.2
IDCJAC0016,040078,2023,07,31,16.3
IDCJAC0016,040078,2023,08,01,16.1
IDCJAC0016,040078,2023,08,02,13.3
IDCJAC0016,040078,2023,08,03,15.3
IDCJAC0016,040078,2023,08,04,15.0
IDCJAC0016,040078,2023,08,05,12.6
IDCJAC0016,040078,2023,08,06,11.9
IDCJAC0016,040078,2023,08,07,14.0
IDCJAC0016,040078,2023,08,08,12.6
IDCJAC0016,040078,2023,08,09,15.2
IDCJAC0016,040078,2023,08,10,14.9
IDCJAC0016,040078,2023,08,11,17.2
IDCJAC0016,040078,2023,08,12,17.6
IDCJAC0016,040078,2023,08,13,17.6
IDCJAC0016,040078,2023,08,14,17.8
IDCJAC0016,040078,2023,08,15,17.2
IDCJAC0016,040078,2023,08,16,13.3
IDCJAC0016,040078,2023,08,17,15.5
IDCJAC0016,040078,2023,08,18,11.8
IDCJAC0016,040078,2023,08,19,18.5
IDCJAC0016,040078,2023,08,20,18.6
IDCJAC0016,040078,2023,08,21,15.8
IDCJAC0016,040078,2023,08,22,17.0
IDCJAC0016,040078,2023,08,23,17.9
IDCJAC0016,040078,2023,08,24,16.7
IDCJAC0016,040078,2023,08,25,14.3
IDCJAC0016,040078,2023,08,26,15.9
IDCJAC0016,040078,2023,08,27,18.4
IDCJAC0016,040078,2023,08,28,17.4
IDCJAC0016,040078,2023,08,29,15.9
IDCJAC0016,040078,2023,08,30,17.8
IDCJAC0016,040078,2023,08,31,18.8
IDCJAC0016,040078,2023,09,01,20.3
IDCJAC0016,040078,2023,09,02,16.6
IDCJAC0016,040078,2023,09,03,18.3
IDCJAC0016,040078,2023,09,04,14.7
IDCJAC0016,040078,2023,09,05,20.8
IDCJAC0016,040078,2023,09,06,20.3
IDCJAC0016,040078,2023,09,07,20.5
IDCJAC0016,040078,2023,09,08,18.5
IDCJAC0016,040078,2023,09,09,21.2
IDCJAC0016,040078,2023,09,10,17.4
IDCJAC0016,040078,2023,09,11,14.5
IDCJAC0016,040078,2023,09,12,14.7
IDCJAC0016,040078,2023,09,13,20.3
IDCJAC0016,040078,2023,09,14,20.6
IDCJAC0016,040078,2023,09,15,20.5
IDCJAC0016,040078,2023,09,16,20.4
IDCJAC0016,040078,2023,09,17,22.1
IDCJAC0016,040078,2023,09,18,21.6
IDCJAC0016,040078,2023,09,19,16.3
IDCJAC0016,040078,2023,09,20,22.3
IDCJAC0016,040078,2023,09,21,23.1
IDCJAC0016,040078,2023,09,22,12.4
IDCJAC0016,040078,2023,09,23,14.5
IDCJAC0016,040078,2023,09,24,16.4
IDCJAC0016,040078,2023,09,25,14.8
IDCJAC0016,040078,2023,09,26,23.9
IDCJAC0016,040078,2023,09,27,24.0
IDCJAC0016,040078,2023,09,28,23.1
IDCJAC0016,040078,2023,09,29,20.4
IDCJAC0016,040078,2023,09,30,24.2
IDCJAC0016,040078,2023,10,01,23.9
IDCJAC0016,040078,2023,10,02,23.4
IDCJAC0016,040078,2023,10,03,17.2
IDCJAC0016,040078,2023,10,04,19.7
IDCJAC0016,040078,2023,10,05,15.0
IDCJAC0016,040078,2023,10,06,20.7
IDCJAC0016,040078,2023,10,07,15.5
IDCJAC0016,040078,2023,10,08,12.2
IDCJAC0016,040078,2023,10,09,23.5
IDCJAC0016,040078,2023,10,10,25.5
IDCJAC0016,040078,2023,10,11,25.2
IDCJAC0016,040078,2023,10,12,25.8
IDCJAC0016,040078,2023,10,13,25.7
IDCJAC0016,040078,2023,10,14,24.6
IDCJAC0016,040078,2023,10,15,26.5
IDCJAC0016,040078,2023,10,16,25.9
IDCJAC0016,040078,2023,10,17,20.2
IDCJAC0016,040078,2023,10,18,16.4
IDCJAC0016,040078,2023,10,19,21.9
IDCJAC0016,040078,2023,10,20,24.5
IDCJAC0016,040078,2023,10,21,25.8
IDCJAC0016,040078,2023,10,22,27.2
IDCJAC0016,040078,2023,10,23,27.5
IDCJAC0016,040078,2023,10,24,26.9
IDCJAC0016,040078,2023,10,25,26.4
IDCJAC0016,040078,2023,10,26,25.5
IDCJAC0016,040078,2023,10,27,21.5
IDCJAC0016,040078,2023,10,28,20.9
IDCJAC0016,040078,2023,10,29,23.7
IDCJAC0016,040078,2023,10,30,27.3
IDCJAC0016,040078,2023,10,31,28.1
IDCJAC0016,040078,2023,11,01,17.2
IDCJAC0016,040078,2023,11,02,25.3
IDCJAC0016,040078,2023,11,03,17.7
IDCJAC0016,040078,2023,11,04,19.8
IDCJAC0016,040078,2023,11,05,17.2
IDCJAC0016,040078,2023,11,06,14.0
IDCJAC0016,040078,2023,11,07,23.4
IDCJAC0016,040078,2023,11,08,26.0
IDCJAC0016,040078,2023,11,09,28.6
IDCJAC0016,040078,2023,11,10,19.4
IDCJAC0016,040078,2023,11,11,23.1
IDCJAC0016,040078,2023,11,12,27.4
IDCJAC0016,040078,2023,11,13,29.7
IDCJAC0016,040078,2023,11,14,29.6
IDCJAC0016,040078,2023,11,15,24.8
IDCJAC0016,040078,2023,11,16,19.4
IDCJAC0016,040078,2023,11,17,20.9
IDCJAC0016,040078,2023,11,18,13.4
IDCJAC0016,040078,2023,11,19,23.9
IDCJAC0016,040078,2023,11,20,5.1
IDCJAC0016,040078,2023,11,21,16.4
IDCJAC0016,040078,2023,11,22,13.8
IDCJAC0016,040078,2023,11,23,26.0
IDCJAC0016,040078,2023,11,24,19.9
IDCJAC0016,040078,2023,11,25,13.0
IDCJAC0016,040078,2023,11,26,19.3
IDCJAC0016,040078,2023,11,27,20.3
IDCJAC0016,040078,2023,11,28,11.1
IDCJAC0016,040078,2023,11,29,25.9
IDCJAC0016,040078,2023,11,30,30.7
IDCJAC0016,040078,2023,12,01,27.0
IDCJAC0016,040078,2023,12,02,23.1
IDCJAC0016,040078,2023,12,03,28.7
IDCJAC0016,040078,2023,12,04,22.6
IDCJAC0016,040078,2023,12,05,30.6
IDCJAC0016,040078,2023,12,06,30.9
IDCJAC0016,040078,2023,12,07,30.8
IDCJAC0016,040078,2023,12,08,29.4
IDCJAC0016,040078,2023,12,09,28.5
IDCJAC0016,040078,2023,12,10,26.6
IDCJAC0016,040078,2023,12,11,25.2
IDCJAC0016,040078,2023,12,12,24.7
IDCJAC0016,040078,2023,12,13,30.0
IDCJAC0016,040078,2023,12,14,30.5
IDCJAC0016,040078,2023,12,15,23.2
IDCJAC0016,040078,2023,12,16,25.0
IDCJAC0016,040078,2023,12,17,20.0
IDCJAC0016,040078,2023,12,18,29.1
IDCJAC0016,040078,2023,12,19,29.1
IDCJAC0016,040078,2023,12,20,27.7
IDCJAC0016,040078,2023,12,21,13.4
IDCJAC0016,040078,2023,12,22,9.5
IDCJAC0016,040078,2023,12,23,27.4
IDCJAC0016,040078,2023,12,24,18.5
IDCJAC0016,040078,2023,12,25,29.4
IDCJAC0016,040078,2023,12,26,21.3
IDCJAC0016,040078,2023,12,27,25.1
IDCJAC0016,040078,2023,12,28,25.6
IDCJAC0016,040078,2023,12,29,31.0
IDCJAC0016,040078,2023,12,30,6.6
IDCJAC0016,040078,2023,12,31,30.2
